epoch_s	power_w	temp_c	util_pct	gfx_clock_mhz	throttle	vram_mib	mem_available_kb	swap_total_kb	swap_free_kb
1789670607	348.54	54	98	1710	0x0000000000000004	21196	50424096	8388604	6481984
1789670609	348.58	54	99	1710	0x0000000000000004	21196	50419504	8388604	6481984
1789670611	348.37	54	99	1710	0x0000000000000004	21196	50439828	8388604	6481984
1789670613	348.82	54	100	1695	0x0000000000000004	21196	50450188	8388604	6481984
1789670615	348.40	54	98	1680	0x0000000000000004	21196	50441856	8388604	6481984
1789670617	348.25	54	98	1710	0x0000000000000004	21196	50424888	8388604	6481984
1789670619	348.46	54	99	1710	0x0000000000000004	21196	50457868	8388604	6481984
1789670621	348.23	54	99	1710	0x0000000000000004	21196	50455204	8388604	6481984
1789670624	348.81	54	98	1710	0x0000000000000004	21196	50438912	8388604	6481984
1789670626	348.61	54	98	1710	0x0000000000000004	21196	50473368	8388604	6481984
1789670628	348.88	54	98	1710	0x0000000000000004	21196	50470160	8388604	6481984
1789670630	345.93	54	98	1710	0x0000000000000004	21196	50340576	8388604	6481984
1789670632	348.09	54	98	1710	0x0000000000000004	21196	50335064	8388604	6481984
1789670634	348.25	54	98	1710	0x0000000000000004	21196	50326488	8388604	6481984
1789670636	348.85	54	99	1710	0x0000000000000004	21196	50337004	8388604	6481984
1789670638	348.46	54	99	1710	0x0000000000000004	21196	50317760	8388604	6481984
1789670640	348.73	54	99	1710	0x0000000000000004	21196	50309184	8388604	6481984
1789670642	348.86	54	99	1710	0x0000000000000004	21196	50304564	8388604	6481984
1789670644	348.66	54	98	1710	0x0000000000000004	21196	50208044	8388604	6481984
1789670646	347.51	54	96	1740	0x0000000000000004	21196	49802488	8388604	6139052
1789670648	348.69	54	99	1710	0x0000000000000004	21196	50142276	8388604	6481984
